epoch,value
1620002634.2410002,3.67
1620002649.2410002,3.68
1620002664.2410002,3.68
1620002679.2410002,3.67
1620002694.2410002,3.67
1620002709.2410002,3.66
1620002724.2410002,3.66
1620002739.2410002,3.65
1620002754.2410002,3.63
1620002769.2410002,3.62
1620002784.2410002,3.62
1620002799.2410002,3.61
1620002814.2410002,3.61
1620002829.2410002,3.61
1620002844.2410002,3.62
1620002859.2410002,3.64
1620002874.2410002,3.64
1620002889.2410002,3.65
1620002904.2410002,3.64
1620002919.2410002,3.63
1620002934.2410002,3.62
1620002949.2410002,3.61
1620002964.2410002,3.6
1620002979.2410002,3.6
1620002994.2410002,3.59
1620003009.2410002,3.58
1620003024.2410002,3.57
1620003039.2410002,3.56
1620003054.2410002,3.56
1620003069.2410002,3.55
1620003084.2410002,3.54
1620003099.2410002,3.54
1620003114.2410002,3.54
1620003129.2410002,3.53
1620003144.2410002,3.52
1620003159.2410002,3.52
1620003174.2410002,3.51
