epoch,value
1620000954.2410002,3.4
1620000969.2410002,3.39
1620000984.2410002,3.41
1620000999.2410002,3.43
1620001014.2410002,3.43
1620001029.2410002,3.42
1620001044.2410002,3.42
1620001059.2410002,3.41
1620001074.2410002,3.41
1620001089.2410002,3.41
1620001104.2410002,3.43
1620001119.2410002,3.42
1620001134.2410002,3.81
1620001149.2410002,3.8
1620001164.2410002,3.8
1620001179.2410002,3.79
1620001194.2410002,3.78
1620001209.2410002,3.78
1620001224.2410002,3.78
1620001239.2410002,3.77
1620001254.2410002,3.76
1620001269.2410002,3.76
1620001284.2410002,3.79
1620001299.2410002,3.79
1620001314.2410002,3.77
1620001329.2410002,3.78
1620001344.2410002,3.77
1620001359.2410002,3.76
1620001374.2410002,3.75
1620001389.2410002,3.74
1620001404.2410002,3.73
1620001419.2410002,3.74
1620001434.2410002,3.73
1620001449.2410002,3.72
1620001464.2410002,3.71
1620001479.2410002,3.71
1620001494.2410002,3.7
1620001509.2410002,3.69
1620001524.2410002,3.68
1620001539.2410002,3.67
1620001554.2410002,3.66
1620001569.2410002,3.69
1620001584.2410002,3.68
1620001599.2410002,3.67
1620001614.2410002,3.66
1620001629.2410002,3.66
1620001644.2410002,3.66
1620001659.2410002,3.64
1620001674.2410002,3.63
1620001689.2410002,3.63
1620001704.2410002,3.67
1620001719.2410002,3.69
1620001734.2410002,3.68
1620001749.2410002,3.67
1620001764.2410002,3.66
1620001779.2410002,3.66
1620001794.2410002,3.66
1620001809.2410002,3.65
1620001824.2410002,3.67
1620001839.2410002,3.7
1620001854.2410002,3.75
1620001869.2410002,3.74
1620001884.2410002,3.73
1620001899.2410002,3.72
1620001914.2410002,3.71
1620001929.2410002,3.7
1620001944.2410002,3.69
1620001959.2410002,3.67
1620001974.2410002,3.66
1620001989.2410002,3.68
1620002004.2410002,3.69
1620002019.2410002,3.69
1620002034.2410002,3.71
1620002049.2410002,3.71
1620002064.2410002,3.7
1620002079.2410002,3.72
1620002094.2410002,3.72
1620002109.2410002,3.73
1620002124.2410002,3.76
1620002139.2410002,3.77
1620002154.2410002,3.77
1620002169.2410002,3.76
1620002184.2410002,3.76
1620002199.2410002,3.74
1620002214.2410002,3.74
1620002229.2410002,3.73
1620002244.2410002,3.72
1620002259.2410002,3.73
1620002274.2410002,3.75
1620002289.2410002,3.74
1620002304.2410002,3.74
1620002319.2410002,3.73
1620002334.2410002,3.72
1620002349.2410002,3.74
1620002364.2410002,3.73
1620002379.2410002,3.72
1620002394.2410002,3.71
1620002409.2410002,3.71
1620002424.2410002,3.7
1620002439.2410002,3.7
1620002454.2410002,3.7
1620002469.2410002,3.7
1620002484.2410002,3.69
1620002499.2410002,3.69
1620002514.2410002,3.7
1620002529.2410002,3.71
1620002544.2410002,3.71
1620002559.2410002,3.7
1620002574.2410002,3.69
1620002589.2410002,3.7
1620002604.2410002,3.69
1620002619.2410002,3.68
